Front,Back,Plus
handy,mobile phone,"Missing[""NotAvailable""]"
ständig,constantly,"{""continual"", ""uninterrupted"", ""incessant"", ""constant"", ""continuous"", ""nonstop"", ""regular"", ""steady"", ""standing"", ""permanent"", ""invariably"", ""habitually"", ""continuously"", ""ceaselessly"", ""incessantly"", ""relentlessly"", ""uninterruptedly"", ""always"", ""at all t"
setzen,put,"{""lay"", ""place"", ""plant"", ""position oneself"", ""put"", ""set"", ""sit down"", ""sit in""}"
sterben,to die,"{""pass away"", ""pass on"", ""die"", ""decease""}"
mag,like,"Missing[""NotAvailable""]"
aliena,aliena,"Missing[""NotAvailable""]"
fing,started,"Missing[""NotAvailable""]"
o,O,"Missing[""NotAvailable""]"
paul,paul,"Missing[""NotAvailable""]"
gruppe,group,"Missing[""NotAvailable""]"
gehörte,belonged,"Missing[""NotAvailable""]"
walter,walter,"Missing[""NotAvailable""]"
schlafen,sleep,"{""sleep""}"
stark,strongly,"{""strong"", ""athletic"", ""groovy"", ""heavy"", ""acute"", ""intense"", ""deep"", ""keen"", ""stiff"", ""robust"", ""stout"", ""sturdy"", ""solidly built""}"
dunklen,dark,"Missing[""NotAvailable""]"
entgegen,opposite,"Missing[""NotAvailable""]"
schwarze,black,"Missing[""NotAvailable""]"
toten,kill,"Missing[""NotAvailable""]"
lesen,read,"{""read"", ""sound""}"
deinem,your,"Missing[""NotAvailable""]"
packte,grabbed,"Missing[""NotAvailable""]"
casey,casey,"Missing[""NotAvailable""]"
spiel,game,"Missing[""NotAvailable""]"
früh,early,"{""early"", ""ahead of time""}"
ohr,ear,"Missing[""NotAvailable""]"
meinung,opinion,"Missing[""NotAvailable""]"
richtete,taught,"Missing[""NotAvailable""]"
sitzen,sit,"{""sit"", ""be sitting"", ""be seated"", ""sit in""}"
langdon,langdon,"Missing[""NotAvailable""]"
leo,leo,"Missing[""NotAvailable""]"
name,Surname,"Missing[""NotAvailable""]"
deutete,pointed,"Missing[""NotAvailable""]"
eigene,own,"Missing[""NotAvailable""]"
überrascht,surprised,"{""startled"", ""staggered"", ""astounded"", ""amazed"", ""dazed"", ""astonished"", ""dazzled"", ""dumbfounded"", ""dumfounded"", ""flabbergasted"", ""surprised""}"
parker,parker,"Missing[""NotAvailable""]"
hing,hung,"Missing[""NotAvailable""]"
wütend,angry,"{""fierce"", ""enraged"", ""furious"", ""infuriated"", ""mad"", ""livid"", ""incensed""}"
schreibtisch,writing desk,"Missing[""NotAvailable""]"
wenige,few,"Missing[""NotAvailable""]"
brach,broke,"{""fallow""}"
scheint,seems,"Missing[""NotAvailable""]"
deutlich,clear,"{""outright"", ""out-and-out"", ""absolute"", ""downright"", ""definite"", ""clear-cut"", ""precise"", ""well-defined"", ""explicit"", ""clear"", ""clean-cut"", ""perspicuous"", ""distinct"", ""sharply defined"", ""unmistakable"", ""evident"", ""apparent"", ""obvious"", ""plain"", ""clearly"", "
mr.,mr.,"Missing[""NotAvailable""]"
mitte,center,"Missing[""NotAvailable""]"
jericho,jericho,"Missing[""NotAvailable""]"
wut,fury,"Missing[""NotAvailable""]"
miteinander,together,"{""together"", ""with each other""}"
sekunden,seconds,"Missing[""NotAvailable""]"
meines,mine,"{""mine""}"
weiteren,more,"Missing[""NotAvailable""]"
hieß,was,"Missing[""NotAvailable""]"
unseren,our,"Missing[""NotAvailable""]"
rolle,role,"Missing[""NotAvailable""]"
verstehe,understand,"Missing[""NotAvailable""]"
still,quiet,"{""windless"", ""calm"", ""still"", ""quiet"", ""placid"", ""tranquil"", ""serene"", ""silent"", ""peaceful"", ""peaceable"", ""quietly"", ""silently"", ""noiselessly""}"
leiche,corpse,"Missing[""NotAvailable""]"
töten,kill,"{""kill"", ""murder"", ""assassinate""}"
längst,a long time ago,"{""a long time ago""}"
sage,legend,"Missing[""NotAvailable""]"
holen,pick up,"{""bring"", ""catch"", ""contract"", ""fetch"", ""get"", ""go get""}"
garten,garden,"Missing[""NotAvailable""]"
daher,therefore,"{""consequently"", ""hence"", ""thus"", ""as a result"", ""therefore"", ""so""}"
bewegte,moving,"Missing[""NotAvailable""]"
beispiel,example,"Missing[""NotAvailable""]"
entlang,along,"{""along""}"
getroffen,met,"{""distressed"", ""grieved"", ""aggrieved""}"
verließ,left,"Missing[""NotAvailable""]"
verstanden,Roger that,"Missing[""NotAvailable""]"
gehalten,held,"Missing[""NotAvailable""]"
grinste,grinned,"Missing[""NotAvailable""]"
spielen,play,"{""play"", ""act as"", ""play on"", ""act"", ""play the role of"", ""enact"", ""perform"", ""gamble"", ""execute""}"
dana,dana,"Missing[""NotAvailable""]"
pferd,horse,"Missing[""NotAvailable""]"
reihe,line,"Missing[""NotAvailable""]"
großer,greater,"Missing[""NotAvailable""]"
hoffnung,hope,"Missing[""NotAvailable""]"
gefahr,danger,"Missing[""NotAvailable""]"
laurel,laurel,"Missing[""NotAvailable""]"
denkt,thinks,"Missing[""NotAvailable""]"
foto,photo,"Missing[""NotAvailable""]"
nummer,number,"Missing[""NotAvailable""]"
traf,hit,"Missing[""NotAvailable""]"
verschwand,disappeared,"Missing[""NotAvailable""]"
unbedingt,absolutely,"{""unconditional"", ""unreserved"", ""complete"", ""needs"", ""absolutely"", ""certainly"", ""positively"", ""surely"", ""undeniably"", ""unquestionably"", ""without a doubt"", ""easily"", ""by all means""}"
vorher,before,"{""before"", ""previously"", ""prior to"", ""previous to""}"
zeigen,demonstrate,"{""display"", ""evince"", ""indicate"", ""make manifest"", ""manifest"", ""point to"", ""prove oneself"", ""read"", ""say"", ""show"", ""show oneself""}"
ließen,could,"Missing[""NotAvailable""]"
gedanke,thought,"Missing[""NotAvailable""]"
hinauf,up,"{""on it""}"
eindruck,impression,"Missing[""NotAvailable""]"
zweite,second,"{""second""}"
schaffen,create,"{""create"", ""originate"", ""initiate"", ""succeed in"", ""manage to"", ""contrive to"", ""manage"", ""pull off""}"
durfte,could,"Missing[""NotAvailable""]"
musterte,eyed,"Missing[""NotAvailable""]"
dunkel,dark,"{""dark"", ""dim"", ""obscure"", ""swarthy"", ""deep"", ""somber""}"
geschickt,cleverly,"{""clever"", ""smart"", ""bright"", ""keen"", ""sharp-witted"", ""brainy"", ""quick-witted"", ""accomplished"", ""subtle"", ""ingenious"", ""crafty"", ""able"", ""competent"", ""capable"", ""adroit"", ""skillful"", ""skilful"", ""dexterous"", ""dextrous"", ""handy"", ""deft"", ""ambidextrous"", ""ar"
erwartet,expected,"{""due"", ""expected""}"
wußte,knew,"Missing[""NotAvailable""]"
wichtig,important,"{""considerable"", ""substantial"", ""notable"", ""significant"", ""appreciable"", ""important"", ""material"", ""relevant"", ""big"", ""major"", ""leading"", ""principal""}"
schule,school,"Missing[""NotAvailable""]"
plan,plan,"Missing[""NotAvailable""]"
anfang,Beginning,"Missing[""NotAvailable""]"
erhob,he lifted,"Missing[""NotAvailable""]"
fügte,added,"Missing[""NotAvailable""]"
aryn,aryn,"Missing[""NotAvailable""]"
nahe,Near,"{""close"", ""near"", ""proximate""}"
max,Max,"Missing[""NotAvailable""]"
bedeutete,meant,"Missing[""NotAvailable""]"
geblieben,remained,"Missing[""NotAvailable""]"
schuld,fault,"Missing[""NotAvailable""]"
spielte,played,"Missing[""NotAvailable""]"
kurzen,short,"Missing[""NotAvailable""]"
fingern,fumble,"Missing[""NotAvailable""]"
las,read,"Missing[""NotAvailable""]"
hör,hear,"Missing[""NotAvailable""]"
männern,men,"Missing[""NotAvailable""]"
einzigen,single,"Missing[""NotAvailable""]"
richtige,right one,"Missing[""NotAvailable""]"
wald,Forest,"Missing[""NotAvailable""]"
anderer,another,"{""other""}"
gestalt,shape,"Missing[""NotAvailable""]"
ziel,aim,"Missing[""NotAvailable""]"
merle,merle,"Missing[""NotAvailable""]"
kenne,know,"Missing[""NotAvailable""]"
seid,are,"Missing[""NotAvailable""]"
suche,search,"Missing[""NotAvailable""]"
solchen,such a,"Missing[""NotAvailable""]"
grigori,grigori,"Missing[""NotAvailable""]"
fazio,fazio,"Missing[""NotAvailable""]"
bauch,belly,"Missing[""NotAvailable""]"
mack,mack,"Missing[""NotAvailable""]"
vito,vito,"Missing[""NotAvailable""]"
sanft,gently,"{""gentle"", ""soft"", ""mild"", ""softly"", ""mildly""}"
unmöglich,impossible,"{""impossible""}"
rein,purely,"{""clean"", ""pure"", ""sheer"", ""plain"", ""outright"", ""blatant"", ""downright"", ""utter"", ""out-and-out"", ""unadulterated"", ""unadulterate"", ""kosher"", ""unpolluted""}"
hexer,sorcerer,"Missing[""NotAvailable""]"
brauche,need,"Missing[""NotAvailable""]"
ritter,Knight,"Missing[""NotAvailable""]"
kerl,Guy,"Missing[""NotAvailable""]"
worten,answer,"Missing[""NotAvailable""]"
falken,hawks,"Missing[""NotAvailable""]"
rannte,ran,"Missing[""NotAvailable""]"
zunge,tongue,"Missing[""NotAvailable""]"
